stu_id,exer_id,response,TKC_id
1,1,1,1
1,2,1,2
1,3,1,3
1,4,1,4
1,5,0,5
1,6,1,6
1,7,1,7
1,8,1,8
1,9,1,9
1,10,1,10
1,11,1,11
1,12,1,12
1,13,1,13
1,14,1,14
2,1,0,1
2,2,1,2
2,3,0,3
2,4,0,4
2,5,1,5
2,6,0,6
2,7,0,7
2,8,1,8
2,9,1,9
2,10,1,10
2,11,1,11
2,12,1,12
2,13,1,13
2,14,1,14
3,1,1,1
3,2,1,2
3,3,1,3
3,4,1,4
3,5,1,5
3,6,1,6
3,7,1,7
3,8,1,8
3,9,1,9
3,10,1,10
3,11,1,11
3,12,1,12
3,13,1,13
3,14,1,14
4,1,1,1
4,2,1,2
4,3,0,3
4,4,0,4
4,5,1,5
4,6,0,6
4,7,1,7
4,8,1,8
4,9,1,9
4,10,1,10
4,11,1,11
4,12,1,12
4,13,1,13
4,14,1,14
5,1,0,1
5,2,1,2
5,3,0,3
5,4,1,4
5,5,1,5
5,6,1,6
5,7,0,7
5,8,1,8
5,9,1,9
5,10,0,10
5,11,1,11
5,12,1,12
5,13,1,13
5,14,1,14
6,1,1,1
6,2,1,2
6,3,0,3
6,4,1,4
6,5,1,5
6,6,1,6
6,7,0,7
6,8,1,8
6,9,1,9
6,10,0,10
6,11,1,11
6,12,1,12
6,13,1,13
6,14,1,14
7,1,1,1
7,2,1,2
7,3,1,3
7,4,0,4
7,5,0,5
7,6,1,6
7,7,1,7
7,8,0,8
7,9,1,9
7,10,1,10
7,11,1,11
7,12,1,12
7,13,1,13
7,14,1,14
8,1,1,1
8,2,1,2
8,3,1,3
8,4,1,4
8,5,1,5
8,6,1,6
8,7,1,7
8,8,1,8
8,9,1,9
8,10,1,10
8,11,1,11
8,12,1,12
8,13,1,13
8,14,1,14
9,1,0,1
9,2,1,2
9,3,1,3
9,4,0,4
9,5,0,5
9,6,1,6
9,7,1,7
9,8,0,8
9,9,1,9
9,10,1,10
9,11,1,11
9,12,0,12
9,13,1,13
9,14,1,14
10,1,1,1
10,2,1,2
10,3,1,3
10,4,1,4
10,5,1,5
10,6,1,6
10,7,1,7
10,8,0,8
10,9,1,9
10,10,1,10
10,11,1,11
10,12,1,12
10,13,1,13
10,14,1,14
11,1,0,1
11,2,1,2
11,3,0,3
11,4,1,4
11,5,0,5
11,6,1,6
11,7,1,7
11,8,1,8
11,9,1,9
11,10,0,10
11,11,1,11
11,12,1,12
11,13,1,13
11,14,1,14
12,1,1,1
12,2,1,2
12,3,1,3
12,4,0,4
12,5,1,5
12,6,1,6
12,7,1,7
12,8,1,8
12,9,1,9
12,10,1,10
12,11,1,11
12,12,1,12
12,13,1,13
12,14,1,14
13,1,0,1
13,2,1,2
13,3,0,3
13,4,0,4
13,5,0,5
13,6,0,6
13,7,0,7
13,8,1,8
13,9,1,9
13,10,0,10
13,11,1,11
13,12,1,12
13,13,1,13
13,14,1,14
14,1,1,1
14,2,1,2
14,3,1,3
14,4,0,4
14,5,1,5
14,6,1,6
14,7,1,7
14,8,0,8
14,9,1,9
14,10,1,10
14,11,1,11
14,12,1,12
14,13,1,13
14,14,1,14
15,1,1,1
15,2,1,2
15,3,1,3
15,4,1,4
15,5,1,5
15,6,0,6
15,7,1,7
15,8,0,8
15,9,1,9
15,10,1,10
15,11,1,11
15,12,1,12
15,13,1,13
15,14,1,14
16,1,1,1
16,2,1,2
16,3,1,3
16,4,1,4
16,5,0,5
