stu_id,exer_id,response,UKC_id
1,15,1,15
1,16,1,16
1,17,1,17
1,18,1,18
2,15,1,15
2,16,0,16
2,17,1,17
2,18,0,18
3,15,1,15
3,16,1,16
3,17,1,17
3,18,1,18
4,15,1,15
4,16,0,16
4,17,0,17
4,18,1,18
5,15,1,15
5,16,1,16
5,17,0,17
5,18,0,18
6,15,1,15
6,16,1,16
6,17,1,17
6,18,1,18
7,15,1,15
7,16,0,16
7,17,0,17
7,18,0,18
8,15,1,15
8,16,1,16
8,17,1,17
8,18,1,18
9,15,1,15
9,16,0,16
9,17,0,17
9,18,1,18
10,15,1,15
10,16,1,16
10,17,1,17
10,18,1,18
11,15,1,15
11,16,0,16
11,17,1,17
11,18,1,18
12,15,1,15
12,16,0,16
12,17,0,17
12,18,0,18
13,15,1,15
13,16,0,16
13,17,0,17
13,18,0,18
14,15,1,15
14,16,1,16
14,17,1,17
14,18,1,18
15,15,0,15
15,16,0,16
15,17,0,17
15,18,1,18
16,15,1,15
16,16,0,16
16,17,0,17
16,18,1,18
17,15,1,15
17,16,1,16
17,17,1,17
17,18,0,18
18,15,1,15
18,16,0,16
18,17,0,17
18,18,0,18
19,15,0,15
19,16,0,16
19,17,0,17
19,18,0,18
20,15,1,15
20,16,0,16
20,17,0,17
20,18,0,18
21,15,1,15
21,16,0,16
21,17,1,17
21,18,1,18
22,15,1,15
22,16,1,16
22,17,1,17
22,18,1,18
23,15,1,15
23,16,0,16
23,17,0,17
23,18,0,18
24,15,1,15
24,16,1,16
24,17,1,17
24,18,1,18
25,15,1,15
25,16,1,16
25,17,1,17
25,18,1,18
26,15,1,15
26,16,1,16
26,17,1,17
26,18,1,18
27,15,1,15
27,16,1,16
27,17,0,17
27,18,0,18
28,15,1,15
28,16,0,16
28,17,1,17
28,18,1,18
29,15,1,15
29,16,1,16
29,17,1,17
29,18,1,18
30,15,1,15
30,16,0,16
30,17,0,17
30,18,1,18
31,15,1,15
31,16,1,16
31,17,1,17
31,18,0,18
32,15,1,15
32,16,1,16
32,17,1,17
32,18,1,18
33,15,1,15
33,16,0,16
33,17,1,17
33,18,1,18
34,15,1,15
34,16,1,16
34,17,1,17
34,18,1,18
35,15,1,15
35,16,1,16
35,17,1,17
35,18,1,18
36,15,1,15
36,16,0,16
36,17,1,17
36,18,1,18
37,15,1,15
37,16,1,16
37,17,1,17
37,18,1,18
38,15,1,15
38,16,0,16
38,17,0,17
38,18,0,18
39,15,1,15
39,16,0,16
39,17,0,17
39,18,0,18
40,15,1,15
40,16,0,16
40,17,1,17
40,18,1,18
41,15,1,15
41,16,0,16
41,17,1,17
41,18,0,18
