stu_id,exer_id,response,TKC_id
1,1,1,1
1,2,0,2
1,3,1,3
1,4,0,4
1,5,1,5
1,6,1,5
1,7,1,6
1,8,0,7
1,9,0,8
1,10,0,9
1,11,1,10
1,12,0,2
2,1,0,1
2,2,0,2
2,3,0,3
2,4,0,4
2,5,0,5
2,6,1,5
2,7,1,6
2,8,0,7
2,9,0,8
2,10,1,9
2,11,0,10
2,12,0,2
3,1,1,1
3,2,1,2
3,3,0,3
3,4,1,4
3,5,1,5
3,6,1,5
3,7,1,6
3,8,0,7
3,9,1,8
3,10,1,9
3,11,1,10
3,12,1,2
4,1,1,1
4,2,1,2
4,3,0,3
4,4,0,4
4,5,1,5
4,6,1,5
4,7,0,6
4,8,0,7
4,9,0,8
4,10,0,9
4,11,0,10
4,12,1,2
5,1,0,1
5,2,1,2
5,3,1,3
5,4,0,4
5,5,1,5
5,6,1,5
5,7,1,6
5,8,1,7
5,9,1,8
5,10,1,9
5,11,1,10
5,12,1,2
6,1,0,1
6,2,0,2
6,3,0,3
6,4,0,4
6,5,0,5
6,6,1,5
6,7,1,6
6,8,1,7
6,9,1,8
6,10,0,9
6,11,0,10
6,12,1,2
7,1,0,1
7,2,0,2
7,3,0,3
7,4,0,4
7,5,0,5
7,6,1,5
7,7,1,6
7,8,0,7
7,9,1,8
7,10,0,9
7,11,0,10
7,12,0,2
8,1,1,1
8,2,0,2
8,3,1,3
8,4,0,4
8,5,0,5
8,6,1,5
8,7,1,6
8,8,1,7
8,9,0,8
8,10,1,9
8,11,1,10
8,12,0,2
9,1,1,1
9,2,0,2
9,3,1,3
9,4,1,4
9,5,1,5
9,6,1,5
9,7,0,6
9,8,0,7
9,9,0,8
9,10,0,9
9,11,0,10
9,12,1,2
10,1,0,1
10,2,0,2
10,3,0,3
10,4,1,4
10,5,1,5
10,6,1,5
10,7,0,6
10,8,1,7
10,9,1,8
10,10,1,9
10,11,1,10
10,12,1,2
11,1,1,1
11,2,0,2
11,3,0,3
11,4,0,4
11,5,1,5
11,6,1,5
11,7,1,6
11,8,0,7
11,9,0,8
11,10,0,9
11,11,0,10
11,12,0,2
12,1,0,1
12,2,0,2
12,3,0,3
12,4,0,4
12,5,0,5
12,6,1,5
12,7,0,6
12,8,0,7
12,9,0,8
12,10,0,9
12,11,0,10
12,12,0,2
13,1,0,1
13,2,0,2
13,3,1,3
13,4,0,4
13,5,0,5
13,6,0,5
13,7,0,6
13,8,0,7
13,9,0,8
13,10,0,9
13,11,0,10
13,12,0,2
14,1,1,1
14,2,0,2
14,3,0,3
14,4,0,4
14,5,1,5
14,6,1,5
14,7,1,6
14,8,0,7
14,9,1,8
14,10,0,9
14,11,0,10
14,12,0,2
15,1,0,1
15,2,0,2
15,3,1,3
15,4,0,4
15,5,0,5
15,6,1,5
15,7,1,6
15,8,0,7
15,9,0,8
15,10,0,9
15,11,1,10
15,12,0,2
16,1,0,1
16,2,0,2
16,3,1,3
16,4,1,4
16,5,1,5
16,6,1,5
16,7,1,6
16,8,0,7
16,9,1,8
16,10,0,9
16,11,0,10
16,12,0,2
17,1,1,1
17,2,0,2
17,3,1,3
17,4,0,4
17,5,0,5
17,6,1,5
17,7,1,6
17,8,0,7
17,9,0,8
17,10,0,9
17,11,1,10
17,12,1,2
18,1,1,1
18,2,0,2
18,3,0,3
18,4,0,4
18,5,1,5
18,6,1,5
18,7,1,6
18,8,0,7
18,9,1,8
18,10,0,9
18,11,0,10
18,12,1,2
19,1,0,1
19,2,0,2
19,3,0,3
19,4,0,4
19,5,1,5
19,6,1,5
19,7,0,6
19,8,0,7
19,9,0,8
19,10,0,9
19,11,0,10
19,12,0,2
20,1,0,1
20,2,0,2
20,3,0,3
20,4,0,4
20,5,0,5
20,6,0,5
20,7,0,6
20,8,0,7
20,9,0,8
20,10,0,9
20,11,0,10
20,12,0,2
21,1,1,1
21,2,1,2
21,3,1,3
21,4,0,4
21,5,1,5
21,6,1,5
21,7,1,6
21,8,1,7
21,9,1,8
21,10,1,9
21,11,1,10
21,12,1,2
22,1,1,1
22,2,1,2
22,3,1,3
22,4,1,4
22,5,1,5
22,6,1,5
22,7,1,6
22,8,0,7
22,9,0,8
22,10,0,9
22,11,1,10
22,12,0,2
23,1,1,1
23,2,0,2
23,3,1,3
23,4,1,4
23,5,1,5
23,6,1,5
23,7,0,6
23,8,0,7
23,9,0,8
23,10,0,9
23,11,0,10
23,12,0,2
24,1,1,1
24,2,0,2
24,3,1,3
24,4,1,4
24,5,1,5
24,6,1,5
24,7,1,6
24,8,0,7
24,9,1,8
24,10,1,9
24,11,1,10
24,12,1,2
25,1,1,1
25,2,0,2
25,3,1,3
25,4,1,4
25,5,0,5
25,6,1,5
25,7,1,6
25,8,1,7
25,9,1,8
25,10,1,9
25,11,1,10
25,12,1,2
26,1,1,1
26,2,0,2
26,3,0,3
26,4,0,4
26,5,0,5
26,6,1,5
26,7,0,6
26,8,1,7
26,9,1,8
26,10,0,9
26,11,1,10
26,12,0,2
27,1,1,1
27,2,1,2
27,3,1,3
27,4,0,4
27,5,0,5
27,6,1,5
27,7,1,6
27,8,0,7
27,9,0,8
27,10,1,9
27,11,0,10
27,12,0,2
28,1,1,1
28,2,0,2
28,3,0,3
28,4,0,4
28,5,1,5
28,6,1,5
28,7,1,6
28,8,1,7
28,9,0,8
28,10,0,9
28,11,1,10
28,12,0,2
29,1,1,1
29,2,0,2
29,3,0,3
29,4,0,4
29,5,1,5
29,6,1,5
29,7,1,6
29,8,1,7
29,9,1,8
29,10,1,9
29,11,1,10
29,12,1,2
30,1,1,1
30,2,0,2
30,3,1,3
30,4,0,4
30,5,1,5
30,6,1,5
30,7,1,6
30,8,1,7
30,9,1,8
30,10,0,9
30,11,1,10
30,12,0,2
31,1,1,1
31,2,0,2
31,3,0,3
31,4,0,4
31,5,1,5
31,6,1,5
31,7,1,6
31,8,0,7
31,9,0,8
31,10,1,9
31,11,1,10
31,12,0,2
32,1,1,1
32,2,0,2
32,3,1,3
32,4,1,4
32,5,1,5
32,6,1,5
32,7,1,6
32,8,1,7
32,9,1,8
32,10,1,9
32,11,1,10
32,12,1,2
33,1,1,1
33,2,0,2
33,3,0,3
33,4,0,4
33,5,1,5
33,6,0,5
33,7,1,6
33,8,0,7
33,9,0,8
33,10,1,9
33,11,1,10
33,12,0,2
34,1,1,1
34,2,0,2
34,3,1,3
34,4,0,4
34,5,0,5
34,6,1,5
34,7,1,6
34,8,1,7
34,9,1,8
34,10,1,9
34,11,1,10
34,12,1,2
35,1,1,1
35,2,1,2
35,3,1,3
35,4,1,4
35,5,0,5
35,6,1,5
35,7,1,6
35,8,1,7
35,9,1,8
35,10,0,9
35,11,1,10
35,12,0,2
36,1,0,1
36,2,0,2
36,3,1,3
36,4,0,4
36,5,1,5
36,6,1,5
36,7,1,6
36,8,0,7
36,9,1,8
36,10,1,9
36,11,1,10
36,12,1,2
37,1,0,1
37,2,0,2
37,3,1,3
37,4,0,4
37,5,1,5
37,6,1,5
37,7,1,6
37,8,1,7
37,9,1,8
37,10,0,9
37,11,1,10
37,12,0,2
38,1,0,1
38,2,0,2
38,3,1,3
38,4,0,4
38,5,0,5
38,6,1,5
38,7,0,6
38,8,0,7
38,9,0,8
38,10,0,9
38,11,1,10
38,12,0,2
39,1,1,1
39,2,0,2
39,3,0,3
39,4,0,4
39,5,1,5
39,6,1,5
39,7,1,6
39,8,1,7
39,9,1,8
39,10,0,9
39,11,1,10
39,12,0,2
40,1,1,1
40,2,0,2
40,3,0,3
40,4,0,4
40,5,0,5
40,6,1,5
40,7,0,6
40,8,1,7
40,9,1,8
40,10,1,9
40,11,1,10
40,12,1,2
41,1,1,1
41,2,0,2
41,3,1,3
41,4,0,4
41,5,1,5
41,6,1,5
41,7,1,6
41,8,1,7
41,9,1,8
41,10,0,9
41,11,1,10
41,12,0,2
42,1,1,1
42,2,0,2
42,3,0,3
42,4,1,4
42,5,0,5
42,6,1,5
42,7,1,6
42,8,0,7
42,9,0,8
42,10,0,9
42,11,1,10
42,12,0,2
43,1,0,1
43,2,1,2
43,3,1,3
43,4,0,4
43,5,1,5
43,6,1,5
43,7,1,6
43,8,1,7
43,9,1,8
43,10,1,9
43,11,1,10
43,12,1,2
44,1,0,1
44,2,0,2
44,3,0,3
44,4,0,4
44,5,1,5
44,6,1,5
44,7,0,6
44,8,0,7
44,9,1,8
44,10,1,9
44,11,0,10
44,12,0,2
45,1,0,1
45,2,0,2
45,3,1,3
45,4,1,4
45,5,0,5
45,6,1,5
45,7,0,6
45,8,1,7
45,9,1,8
45,10,0,9
45,11,1,10
45,12,0,2
46,1,1,1
46,2,1,2
46,3,0,3
46,4,0,4
46,5,1,5
46,6,1,5
46,7,1,6
46,8,1,7
46,9,1,8
46,10,1,9
46,11,1,10
46,12,1,2
47,1,0,1
47,2,0,2
47,3,1,3
47,4,0,4
47,5,1,5
47,6,1,5
47,7,1,6
47,8,0,7
47,9,1,8
47,10,1,9
47,11,1,10
47,12,1,2
48,1,0,1
48,2,0,2
48,3,0,3
48,4,1,4
48,5,1,5
48,6,1,5
48,7,1,6
48,8,0,7
48,9,0,8
48,10,1,9
48,11,1,10
48,12,0,2
49,1,0,1
49,2,0,2
49,3,0,3
49,4,1,4
49,5,0,5
49,6,1,5
49,7,1,6
49,8,0,7
49,9,0,8
49,10,0,9
49,11,1,10
49,12,0,2
50,1,0,1
50,2,1,2
50,3,1,3
50,4,1,4
50,5,0,5
50,6,1,5
50,7,0,6
50,8,0,7
50,9,0,8
50,10,0,9
50,11,1,10
50,12,0,2
51,1,0,1
51,2,0,2
51,3,0,3
51,4,0,4
51,5,0,5
51,6,1,5
51,7,1,6
51,8,0,7
51,9,0,8
51,10,1,9
51,11,0,10
51,12,1,2
52,1,1,1
52,2,1,2
52,3,1,3
52,4,0,4
52,5,1,5
52,6,1,5
52,7,1,6
52,8,0,7
52,9,1,8
52,10,1,9
52,11,1,10
52,12,0,2
53,1,1,1
53,2,0,2
53,3,0,3
53,4,0,4
53,5,0,5
53,6,1,5
53,7,1,6
53,8,0,7
53,9,1,8
53,10,0,9
53,11,0,10
53,12,1,2
54,1,1,1
54,2,0,2
54,3,1,3
54,4,0,4
54,5,1,5
54,6,1,5
54,7,1,6
54,8,0,7
54,9,0,8
54,10,1,9
54,11,0,10
54,12,0,2
55,1,1,1
55,2,0,2
55,3,1,3
55,4,1,4
55,5,1,5
55,6,1,5
55,7,1,6
55,8,1,7
55,9,1,8
55,10,1,9
55,11,1,10
55,12,1,2
56,1,1,1
56,2,0,2
56,3,1,3
56,4,0,4
56,5,1,5
56,6,1,5
56,7,1,6
56,8,1,7
56,9,1,8
56,10,1,9
56,11,1,10
56,12,0,2
57,1,1,1
57,2,0,2
57,3,1,3
57,4,0,4
57,5,0,5
57,6,1,5
57,7,0,6
57,8,0,7
57,9,1,8
57,10,0,9
57,11,0,10
57,12,0,2
58,1,1,1
58,2,0,2
58,3,0,3
58,4,1,4
58,5,0,5
58,6,1,5
58,7,1,6
58,8,1,7
58,9,1,8
58,10,1,9
58,11,1,10
58,12,0,2
59,1,0,1
59,2,0,2
59,3,1,3
59,4,1,4
59,5,0,5
59,6,1,5
59,7,1,6
59,8,1,7
59,9,0,8
59,10,1,9
59,11,1,10
59,12,0,2
60,1,0,1
60,2,0,2
60,3,0,3
60,4,0,4
60,5,0,5
60,6,1,5
60,7,1,6
60,8,0,7
60,9,0,8
60,10,1,9
60,11,1,10
60,12,0,2
61,1,1,1
61,2,0,2
61,3,1,3
61,4,0,4
61,5,0,5
61,6,1,5
61,7,1,6
61,8,0,7
61,9,0,8
61,10,0,9
61,11,0,10
61,12,0,2
62,1,1,1
62,2,1,2
62,3,1,3
62,4,0,4
62,5,1,5
62,6,1,5
62,7,1,6
62,8,1,7
62,9,1,8
62,10,1,9
62,11,0,10
62,12,0,2
63,1,1,1
63,2,0,2
63,3,0,3
63,4,0,4
63,5,0,5
63,6,1,5
63,7,1,6
63,8,0,7
63,9,0,8
63,10,1,9
63,11,0,10
63,12,0,2
64,1,1,1
64,2,0,2
64,3,0,3
64,4,0,4
64,5,0,5
64,6,1,5
64,7,1,6
64,8,0,7
64,9,0,8
64,10,1,9
64,11,0,10
64,12,0,2
65,1,0,1
65,2,0,2
65,3,1,3
65,4,0,4
65,5,1,5
65,6,1,5
65,7,1,6
65,8,1,7
65,9,1,8
65,10,1,9
65,11,0,10
65,12,0,2
66,1,0,1
66,2,0,2
66,3,0,3
66,4,0,4
66,5,1,5
66,6,1,5
66,7,1,6
66,8,0,7
66,9,1,8
66,10,0,9
66,11,0,10
66,12,0,2
67,1,1,1
67,2,1,2
67,3,1,3
67,4,0,4
67,5,1,5
67,6,1,5
67,7,1,6
67,8,0,7
67,9,0,8
67,10,0,9
67,11,0,10
67,12,0,2
68,1,0,1
68,2,0,2
68,3,1,3
68,4,1,4
68,5,1,5
68,6,1,5
68,7,1,6
68,8,0,7
68,9,1,8
68,10,1,9
68,11,1,10
68,12,1,2
69,1,0,1
69,2,0,2
69,3,0,3
69,4,0,4
69,5,0,5
69,6,1,5
69,7,1,6
69,8,0,7
69,9,0,8
69,10,0,9
69,11,0,10
69,12,0,2
70,1,1,1
70,2,1,2
70,3,1,3
70,4,1,4
70,5,0,5
70,6,0,5
70,7,1,6
70,8,0,7
70,9,0,8
70,10,1,9
70,11,1,10
70,12,0,2
71,1,1,1
71,2,0,2
71,3,1,3
71,4,0,4
71,5,0,5
71,6,1,5
71,7,1,6
71,8,0,7
71,9,0,8
71,10,1,9
71,11,0,10
71,12,1,2
72,1,0,1
72,2,1,2
72,3,0,3
72,4,0,4
72,5,0,5
72,6,1,5
72,7,1,6
72,8,0,7
72,9,0,8
72,10,1,9
72,11,1,10
72,12,1,2
73,1,0,1
73,2,0,2
73,3,1,3
73,4,0,4
73,5,0,5
73,6,1,5
73,7,1,6
73,8,0,7
73,9,0,8
73,10,0,9
73,11,0,10
73,12,0,2
74,1,0,1
74,2,0,2
74,3,0,3
74,4,1,4
74,5,0,5
74,6,1,5
74,7,1,6
74,8,0,7
74,9,0,8
74,10,1,9
74,11,0,10
74,12,1,2
75,1,1,1
75,2,0,2
75,3,0,3
75,4,1,4
75,5,0,5
75,6,1,5
75,7,1,6
75,8,0,7
75,9,0,8
75,10,0,9
75,11,0,10
75,12,0,2
76,1,0,1
76,2,0,2
76,3,1,3
76,4,1,4
76,5,1,5
76,6,1,5
76,7,1,6
76,8,1,7
76,9,1,8
76,10,1,9
76,11,0,10
76,12,0,2
77,1,1,1
77,2,1,2
77,3,0,3
77,4,0,4
77,5,1,5
77,6,1,5
77,7,1,6
77,8,0,7
77,9,0,8
77,10,1,9
77,11,1,10
77,12,1,2
78,1,1,1
78,2,0,2
78,3,1,3
78,4,1,4
78,5,1,5
78,6,1,5
78,7,0,6
78,8,0,7
78,9,0,8
78,10,0,9
78,11,0,10
78,12,1,2
79,1,0,1
79,2,0,2
79,3,1,3
79,4,1,4
79,5,1,5
79,6,1,5
79,7,1,6
79,8,0,7
79,9,0,8
79,10,0,9
79,11,0,10
79,12,0,2
80,1,0,1
80,2,0,2
80,3,1,3
80,4,0,4
80,5,0,5
80,6,1,5
80,7,1,6
80,8,0,7
80,9,0,8
80,10,0,9
80,11,0,10
80,12,0,2
81,1,1,1
81,2,0,2
81,3,1,3
81,4,1,4
81,5,1,5
81,6,1,5
81,7,1,6
81,8,0,7
81,9,1,8
81,10,1,9
81,11,1,10
81,12,1,2
82,1,1,1
82,2,1,2
82,3,1,3
82,4,1,4
82,5,0,5
82,6,1,5
82,7,1,6
82,8,0,7
82,9,1,8
82,10,1,9
82,11,1,10
82,12,1,2
83,1,1,1
83,2,1,2
83,3,1,3
83,4,1,4
83,5,1,5
83,6,1,5
83,7,1,6
83,8,0,7
83,9,1,8
83,10,1,9
83,11,1,10
83,12,1,2
84,1,0,1
84,2,1,2
84,3,0,3
84,4,0,4
84,5,1,5
84,6,1,5
84,7,1,6
84,8,0,7
84,9,0,8
84,10,0,9
84,11,0,10
84,12,0,2
85,1,1,1
85,2,0,2
85,3,1,3
85,4,0,4
85,5,0,5
85,6,1,5
85,7,1,6
85,8,0,7
85,9,0,8
85,10,0,9
85,11,0,10
85,12,0,2
86,1,1,1
86,2,0,2
86,3,0,3
86,4,0,4
86,5,0,5
86,6,1,5
86,7,1,6
86,8,0,7
86,9,0,8
86,10,0,9
86,11,1,10
86,12,0,2
87,1,1,1
87,2,0,2
87,3,1,3
87,4,1,4
87,5,0,5
87,6,1,5
87,7,1,6
87,8,0,7
87,9,0,8
87,10,1,9
87,11,0,10
87,12,1,2
88,1,0,1
88,2,0,2
88,3,0,3
88,4,0,4
88,5,0,5
88,6,1,5
88,7,1,6
88,8,0,7
88,9,0,8
88,10,1,9
88,11,0,10
88,12,0,2
89,1,1,1
89,2,1,2
89,3,1,3
89,4,1,4
89,5,1,5
89,6,1,5
89,7,1,6
89,8,0,7
89,9,1,8
89,10,1,9
89,11,1,10
89,12,0,2
90,1,1,1
90,2,0,2
90,3,1,3
90,4,0,4
90,5,1,5
90,6,1,5
90,7,1,6
90,8,0,7
90,9,1,8
90,10,1,9
